
  RooFitResult: minimized FCN value: -896.684, estimated distance to minimum: 2.42138e-05
                covariance matrix quality: Not calculated at all
                Status : MINIMIZE=-1 HESSE=304 MINOS=-1 

    Constant Parameter    Value     
  --------------------  ------------
          CMS_th1x_DM0    4.0000e+00
          CMS_th1x_DM1    4.0000e+00
         CMS_th1x_DM10    4.0000e+00
         CMS_th1x_DM11    4.0000e+00
   QCD_bin_1_mt_DM0_In    0.0000e+00
  QCD_bin_1_mt_DM10_In    0.0000e+00
  QCD_bin_1_mt_DM11_In    0.0000e+00
   QCD_bin_1_mt_DM1_In    0.0000e+00
   QCD_bin_2_mt_DM0_In    0.0000e+00
  QCD_bin_2_mt_DM10_In    0.0000e+00
  QCD_bin_2_mt_DM11_In    0.0000e+00
   QCD_bin_2_mt_DM1_In    0.0000e+00
   QCD_bin_3_mt_DM0_In    0.0000e+00
  QCD_bin_3_mt_DM10_In    0.0000e+00
  QCD_bin_3_mt_DM11_In    0.0000e+00
   QCD_bin_3_mt_DM1_In    0.0000e+00
   QCD_bin_4_mt_DM0_In    0.0000e+00
  QCD_bin_4_mt_DM10_In    0.0000e+00
  QCD_bin_4_mt_DM11_In    0.0000e+00
   QCD_bin_4_mt_DM1_In    0.0000e+00
   QCD_bin_5_mt_DM0_In    0.0000e+00
  QCD_bin_5_mt_DM10_In    0.0000e+00
  QCD_bin_5_mt_DM11_In    0.0000e+00
   QCD_bin_5_mt_DM1_In    0.0000e+00
   QCD_bin_6_mt_DM0_In    0.0000e+00
  QCD_bin_6_mt_DM10_In    0.0000e+00
  QCD_bin_6_mt_DM11_In    0.0000e+00
   QCD_bin_6_mt_DM1_In    0.0000e+00
   QCD_bin_7_mt_DM0_In    0.0000e+00
  QCD_bin_7_mt_DM10_In    0.0000e+00
  QCD_bin_7_mt_DM11_In    0.0000e+00
   QCD_bin_7_mt_DM1_In    0.0000e+00
   QCD_bin_8_mt_DM0_In    0.0000e+00
  QCD_bin_8_mt_DM10_In    0.0000e+00
  QCD_bin_8_mt_DM11_In    0.0000e+00
   QCD_bin_8_mt_DM1_In    0.0000e+00
    ST_bin_1_mt_DM0_In    0.0000e+00
   ST_bin_1_mt_DM10_In    0.0000e+00
   ST_bin_1_mt_DM11_In    0.0000e+00
    ST_bin_1_mt_DM1_In    0.0000e+00
    ST_bin_2_mt_DM0_In    0.0000e+00
   ST_bin_2_mt_DM10_In    0.0000e+00
   ST_bin_2_mt_DM11_In    0.0000e+00
    ST_bin_2_mt_DM1_In    0.0000e+00
    ST_bin_3_mt_DM0_In    0.0000e+00
   ST_bin_3_mt_DM10_In    0.0000e+00
   ST_bin_3_mt_DM11_In    0.0000e+00
    ST_bin_3_mt_DM1_In    0.0000e+00
    ST_bin_4_mt_DM0_In    0.0000e+00
   ST_bin_4_mt_DM10_In    0.0000e+00
   ST_bin_4_mt_DM11_In    0.0000e+00
    ST_bin_4_mt_DM1_In    0.0000e+00
    ST_bin_5_mt_DM0_In    0.0000e+00
   ST_bin_5_mt_DM10_In    0.0000e+00
   ST_bin_5_mt_DM11_In    0.0000e+00
    ST_bin_5_mt_DM1_In    0.0000e+00
    ST_bin_6_mt_DM0_In    0.0000e+00
   ST_bin_6_mt_DM10_In    0.0000e+00
   ST_bin_6_mt_DM11_In    0.0000e+00
    ST_bin_6_mt_DM1_In    0.0000e+00
    ST_bin_7_mt_DM0_In    0.0000e+00
   ST_bin_7_mt_DM10_In    0.0000e+00
   ST_bin_7_mt_DM11_In    0.0000e+00
    ST_bin_7_mt_DM1_In    0.0000e+00
    ST_bin_8_mt_DM0_In    0.0000e+00
   ST_bin_8_mt_DM10_In    0.0000e+00
   ST_bin_8_mt_DM11_In    0.0000e+00
    ST_bin_8_mt_DM1_In    0.0000e+00
   TTJ_bin_1_mt_DM0_In    0.0000e+00
  TTJ_bin_1_mt_DM10_In    0.0000e+00
  TTJ_bin_1_mt_DM11_In    0.0000e+00
   TTJ_bin_1_mt_DM1_In    0.0000e+00
   TTJ_bin_2_mt_DM0_In    0.0000e+00
  TTJ_bin_2_mt_DM10_In    0.0000e+00
  TTJ_bin_2_mt_DM11_In    0.0000e+00
   TTJ_bin_2_mt_DM1_In    0.0000e+00
   TTJ_bin_3_mt_DM0_In    0.0000e+00
  TTJ_bin_3_mt_DM10_In    0.0000e+00
  TTJ_bin_3_mt_DM11_In    0.0000e+00
   TTJ_bin_3_mt_DM1_In    0.0000e+00
   TTJ_bin_4_mt_DM0_In    0.0000e+00
  TTJ_bin_4_mt_DM10_In    0.0000e+00
  TTJ_bin_4_mt_DM11_In    0.0000e+00
   TTJ_bin_4_mt_DM1_In    0.0000e+00
   TTJ_bin_5_mt_DM0_In    0.0000e+00
  TTJ_bin_5_mt_DM10_In    0.0000e+00
  TTJ_bin_5_mt_DM11_In    0.0000e+00
   TTJ_bin_5_mt_DM1_In    0.0000e+00
   TTJ_bin_6_mt_DM0_In    0.0000e+00
  TTJ_bin_6_mt_DM10_In    0.0000e+00
  TTJ_bin_6_mt_DM11_In    0.0000e+00
   TTJ_bin_6_mt_DM1_In    0.0000e+00
   TTJ_bin_7_mt_DM0_In    0.0000e+00
  TTJ_bin_7_mt_DM10_In    0.0000e+00
  TTJ_bin_7_mt_DM11_In    0.0000e+00
   TTJ_bin_7_mt_DM1_In    0.0000e+00
   TTJ_bin_8_mt_DM0_In    0.0000e+00
  TTJ_bin_8_mt_DM10_In    0.0000e+00
  TTJ_bin_8_mt_DM11_In    0.0000e+00
   TTJ_bin_8_mt_DM1_In    0.0000e+00
   TTL_bin_1_mt_DM0_In    0.0000e+00
  TTL_bin_1_mt_DM10_In    0.0000e+00
  TTL_bin_1_mt_DM11_In    0.0000e+00
   TTL_bin_1_mt_DM1_In    0.0000e+00
   TTL_bin_2_mt_DM0_In    0.0000e+00
  TTL_bin_2_mt_DM10_In    0.0000e+00
  TTL_bin_2_mt_DM11_In    0.0000e+00
   TTL_bin_2_mt_DM1_In    0.0000e+00
   TTL_bin_3_mt_DM0_In    0.0000e+00
  TTL_bin_3_mt_DM10_In    0.0000e+00
  TTL_bin_3_mt_DM11_In    0.0000e+00
   TTL_bin_3_mt_DM1_In    0.0000e+00
   TTL_bin_4_mt_DM0_In    0.0000e+00
  TTL_bin_4_mt_DM10_In    0.0000e+00
  TTL_bin_4_mt_DM11_In    0.0000e+00
   TTL_bin_4_mt_DM1_In    0.0000e+00
   TTL_bin_5_mt_DM0_In    0.0000e+00
  TTL_bin_5_mt_DM10_In    0.0000e+00
  TTL_bin_5_mt_DM11_In    0.0000e+00
   TTL_bin_5_mt_DM1_In    0.0000e+00
   TTL_bin_6_mt_DM0_In    0.0000e+00
  TTL_bin_6_mt_DM10_In    0.0000e+00
  TTL_bin_6_mt_DM11_In    0.0000e+00
   TTL_bin_6_mt_DM1_In    0.0000e+00
   TTL_bin_7_mt_DM0_In    0.0000e+00
  TTL_bin_7_mt_DM10_In    0.0000e+00
  TTL_bin_7_mt_DM11_In    0.0000e+00
   TTL_bin_7_mt_DM1_In    0.0000e+00
   TTL_bin_8_mt_DM0_In    0.0000e+00
  TTL_bin_8_mt_DM10_In    0.0000e+00
  TTL_bin_8_mt_DM11_In    0.0000e+00
   TTL_bin_8_mt_DM1_In    0.0000e+00
   TTT_bin_1_mt_DM0_In    0.0000e+00
  TTT_bin_1_mt_DM10_In    0.0000e+00
  TTT_bin_1_mt_DM11_In    0.0000e+00
   TTT_bin_1_mt_DM1_In    0.0000e+00
   TTT_bin_2_mt_DM0_In    0.0000e+00
  TTT_bin_2_mt_DM10_In    0.0000e+00
  TTT_bin_2_mt_DM11_In    0.0000e+00
